Month,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason,Metadata 1
1997-10,Departures,Buenos Aires,9,number,Number of flights,
1997-10,Departures,Hong Kong,37,number,Number of flights,
1997-10,Departures,Honolulu,55,number,Number of flights,
1997-10,Departures,Osaka,23,number,Number of flights,
1997-10,Departures,Kuala Lumpur,18,number,Number of flights,
1997-10,Departures,Los Angeles,145,number,Number of flights,
1997-10,Departures,London,24,number,Number of flights,
1997-10,Departures,Melbourne,156,number,Number of flights,
1997-10,Departures,Nadi,109,number,Number of flights,
1997-10,Departures,Nagoya,17,number,Number of flights,
1997-10,Departures,Noumea,15,number,Number of flights,
1997-10,Departures,Tokyo,33,number,Number of flights,
1997-10,Departures,Coolangatta,9,number,Number of flights,
1997-10,Departures,Perth,14,number,Number of flights,
1997-10,Departures,Papeete,19,number,Number of flights,
1997-10,Departures,Rarotonga,17,number,Number of flights,
1997-10,Departures,Santiago,0,number,Number of flights,
1997-10,Departures,Seoul,63,number,Number of flights,
1997-10,Departures,San Francisco,0,number,Number of flights,
1997-10,Departures,Shanghai,0,number,Number of flights,
1997-10,Departures,Singapore,74,number,Number of flights,
1997-10,Departures,Sydney,397,number,Number of flights,
1997-10,Departures,Tonga,24,number,Number of flights,
1997-10,Departures,Taipei,30,number,Number of flights,
1997-10,Departures,Port Vila,7,number,Number of flights,
1997-10,Departures,Vancouver,17,number,Number of flights,
1997-10,Departures,Total,1416,number,Number of flights,
1997-10,Total,Adelaide,0,number,Number of flights,
1997-10,Total,Apia,66,number,Number of flights,
1997-10,Total,Beijing,0,number,Number of flights,
1997-10,Total,Bangkok,61,number,Number of flights,
1997-10,Total,Brisbane,417,number,Number of flights,
1997-10,Total,Bandar Seri Begawan,0,number,Number of flights,
1997-10,Total,Guangzhou,0,number,Number of flights,
1997-10,Total,Cairns,28,number,Number of flights,
1997-10,Total,Denpasar,40,number,Number of flights,
1997-10,Total,Dubai,0,number,Number of flights,
1997-10,Total,Buenos Aires,18,number,Number of flights,
